,AAPL,FB,UNH,MA,MSFT,NVDA,HD,PFE,AMZN,BRK-B,PG,XOM,TSLA,JPM,V,DIS,GOOGL,JNJ,BAC,CSCO
AAPL,0.0802329074137364,0.04325116441262003,0.028652754171260286,0.03888606763312779,0.04273560257797967,0.0581520877496683,0.029459872099498154,0.01727841297417915,0.03977728285702268,0.024354516291240295,0.01729600976888201,0.021793953465636815,0.05284045991825594,0.029465253154071364,0.034220641016516964,0.026088993962113234,0.038187843825804146,0.016926331797757866,0.033207045929608325,0.03363358874117958
FB,0.04325116441262003,0.14298497475615574,0.026121509200724063,0.04171796556254053,0.04245216459598817,0.06124324384939905,0.027656206461278737,0.016772916235905384,0.053336287052970686,0.022890850446523208,0.013311864388005138,0.01955208893292288,0.056278034326144345,0.028702586582433225,0.03832129423626237,0.02812701694577265,0.04919993757802039,0.015611032069979072,0.03346414191081352,0.02899551932024431
UNH,0.028652754171260286,0.026121509200724063,0.0635282774505821,0.031986033691783274,0.030450066784926184,0.03630490832416497,0.02795676860585537,0.02256567946957707,0.02394481689872681,0.025751871224974812,0.017640206091610197,0.024557925596511963,0.028922644380549607,0.03191832266424875,0.0295605431391602,0.02381979398450281,0.027347198041050836,0.02107211720484286,0.03544416806026371,0.026037844110679807
MA,0.03888606763312779,0.04171796556254053,0.031986033691783274,0.0711663196156932,0.04163225662226499,0.0542301098166931,0.031928853640191504,0.02197161819800817,0.03894502604537916,0.030639083316190203,0.01923303847053356,0.031978328114383406,0.04669936602361903,0.04077757961996199,0.05676924381843283,0.03770967991510765,0.03986201702379371,0.020884190499041663,0.04526657168614065,0.03552799391392874
MSFT,0.04273560257797967,0.04245216459598817,0.030450066784926184,0.04163225662226499,0.06690267909270094,0.0609550575994162,0.031129198083074527,0.019419936382545955,0.044130244254016744,0.025514264145199934,0.019463531861365405,0.022032126258061443,0.05066228781961242,0.03184162929943698,0.037838711018556716,0.027907595711600862,0.043547724394557806,0.019484403874722833,0.03497914407429011,0.03658030971623938
NVDA,0.0581520877496683,0.06124324384939905,0.03630490832416497,0.0542301098166931,0.0609550575994162,0.17579403563765866,0.04065170649802854,0.019776849664225726,0.05732751803955912,0.02995273892850758,0.01838713642845875,0.02674597242537593,0.08073900571691542,0.03879064702926375,0.04775070613905293,0.03487601744704987,0.05371068110858762,0.018875515536883124,0.04572700454079604,0.04641504036275592
HD,0.029459872099498154,0.027656206461278737,0.02795676860585537,0.031928853640191504,0.031129198083074527,0.04065170649802854,0.05234842025329703,0.017542280234084044,0.02595395468509269,0.024354189980816794,0.017579234000934838,0.02234961344386371,0.037356608472155654,0.031011368793111824,0.030070680511100546,0.027123373527148515,0.027682586764273816,0.017065527432847196,0.03345917165836854,0.027148552470035475
PFE,0.01727841297417915,0.016772916235905384,0.02256567946957707,0.02197161819800817,0.019419936382545955,0.019776849664225726,0.017542280234084044,0.04489857713451798,0.014692534697548224,0.018881037985587826,0.015509507671817063,0.017598775263276138,0.014240445465492467,0.02285289513149802,0.021320998234416445,0.016611651559798418,0.018147354373762487,0.020024623930546357,0.02418444165529462,0.021173654547327704
AMZN,0.03977728285702268,0.053336287052970686,0.02394481689872681,0.03894502604537916,0.044130244254016744,0.05732751803955912,0.02595395468509269,0.014692534697548224,0.09246940862475887,0.01971390857460756,0.012752566726916142,0.016923110913881424,0.0569598828051021,0.023046059415209087,0.03419790098143087,0.025031803787139983,0.046125651022537406,0.014617276957508588,0.02777032966962697,0.029279339212863766
BRK-B,0.024354516291240295,0.022890850446523208,0.025751871224974812,0.030639083316190203,0.025514264145199934,0.02995273892850758,0.024354189980816794,0.018881037985587826,0.01971390857460756,0.03471013404988939,0.016505680244865484,0.02894941007317066,0.02505304396006335,0.037654243312076355,0.028527387761757547,0.026881538477208772,0.02335661913863191,0.01847782185343849,0.041947222513407025,0.025994553826742046
PG,0.01729600976888201,0.013311864388005138,0.017640206091610197,0.01923303847053356,0.019463531861365405,0.01838713642845875,0.017579234000934838,0.015509507671817063,0.012752566726916142,0.016505680244865484,0.03155324281221492,0.014400338538029732,0.01272132730143273,0.017246042995927875,0.018122231161328325,0.015636308039952546,0.015939193294478838,0.01725018447275149,0.018287981062251733,0.01878800321895135
XOM,0.021793953465636815,0.01955208893292288,0.024557925596511963,0.031978328114383406,0.022032126258061443,0.02674597242537593,0.02234961344386371,0.017598775263276138,0.016923110913881424,0.02894941007317066,0.014400338538029732,0.0648600900669407,0.026756914814189754,0.04024422314669353,0.028378521602562972,0.02974973082176387,0.022842519949132244,0.017444104940876327,0.04519416783286065,0.026769288729279583
TSLA,0.05284045991825594,0.056278034326144345,0.028922644380549607,0.04669936602361903,0.05066228781961242,0.08073900571691542,0.037356608472155654,0.014240445465492467,0.0569598828051021,0.02505304396006335,0.01272132730143273,0.026756914814189754,0.3127351236157104,0.034907387804574586,0.04081760479202901,0.034834571457599564,0.047152267532557926,0.013675316417921822,0.0414413775386217,0.03556766784709372
JPM,0.029465253154071364,0.028702586582433225,0.03191832266424875,0.04077757961996199,0.03184162929943698,0.03879064702926375,0.031011368793111824,0.02285289513149802,0.023046059415209087,0.037654243312076355,0.017246042995927875,0.04024422314669353,0.034907387804574586,0.07095508150836143,0.03719700572841254,0.03749434990253223,0.02907405361686365,0.020054561875244264,0.07318684980408596,0.03283801403725913
V,0.034220641016516964,0.03832129423626237,0.0295605431391602,0.05676924381843283,0.037838711018556716,0.04775070613905293,0.030070680511100546,0.021320998234416445,0.03419790098143087,0.028527387761757547,0.018122231161328325,0.028378521602562972,0.04081760479202901,0.03719700572841254,0.06021505257715186,0.03340664172606169,0.036136411425359324,0.019784037460814603,0.041709087654687005,0.031721995455217034
DIS,0.026088993962113234,0.02812701694577265,0.02381979398450281,0.03770967991510765,0.027907595711600862,0.03487601744704987,0.027123373527148515,0.016611651559798418,0.025031803787139983,0.026881538477208772,0.015636308039952546,0.02974973082176387,0.034834571457599564,0.03749434990253223,0.03340664172606169,0.0616876512927339,0.027012660433704,0.015965171573428007,0.041571422020017804,0.02888133301572138
GOOGL,0.038187843825804146,0.04919993757802039,0.027347198041050836,0.03986201702379371,0.043547724394557806,0.05371068110858762,0.027682586764273816,0.018147354373762487,0.046125651022537406,0.02335661913863191,0.015939193294478838,0.022842519949132244,0.047152267532557926,0.02907405361686365,0.036136411425359324,0.027012660433704,0.06514052611302255,0.01697850152941169,0.03331408726922955,0.029868360893180856
JNJ,0.016926331797757866,0.015611032069979072,0.02107211720484286,0.020884190499041663,0.019484403874722833,0.018875515536883124,0.017065527432847196,0.020024623930546357,0.014617276957508588,0.01847782185343849,0.01725018447275149,0.017444104940876327,0.013675316417921822,0.020054561875244264,0.019784037460814603,0.015965171573428007,0.01697850152941169,0.03023294049358119,0.020733885624361674,0.02053944120848418
BAC,0.033207045929608325,0.03346414191081352,0.03544416806026371,0.04526657168614065,0.03497914407429011,0.04572700454079604,0.03345917165836854,0.02418444165529462,0.02777032966962697,0.041947222513407025,0.018287981062251733,0.04519416783286065,0.0414413775386217,0.07318684980408596,0.041709087654687005,0.041571422020017804,0.03331408726922955,0.020733885624361674,0.09664000602763667,0.03791993146955026
CSCO,0.03363358874117958,0.02899551932024431,0.026037844110679807,0.03552799391392874,0.03658030971623938,0.04641504036275592,0.027148552470035475,0.021173654547327704,0.029279339212863766,0.025994553826742046,0.01878800321895135,0.026769288729279583,0.03556766784709372,0.03283801403725913,0.031721995455217034,0.02888133301572138,0.029868360893180856,0.02053944120848418,0.03791993146955026,0.06262531789832917
